Rank,City,State,Population
313,Spokane Valley,Washington,"97,847"
314,Orem,Utah,"97,839"
315,Compton,California,"97,612"
316,Beaverton,Oregon,"97,514"
317,Erie,Pennsylvania,"97,369"
318,Lee's Summit,Missouri,"97,290"
319,Lawrence,Kansas,"96,892"
320,Federal Way,Washington,"96,690"
321,Flint,Michigan,"96,448"
322,San Marcos,California,"96,198"
323,Rio Rancho,New Mexico,"96,159"
324,Sandy,Utah,"96,145"
325,Mission Viejo,California,"96,016"
326,Brockton,Massachusetts,"95,672"
327,Yuma,Arizona,"95,502"
328,South Gate,California,"95,430"
329,New Bedford,Massachusetts,"95,120"
330,Hesperia,California,"94,859"
331,Roswell,Georgia,"94,786"
332,Portsmouth,Virginia,"94,572"
333,Bend,Oregon,"94,520"
334,Dearborn,Michigan,"94,491"
335,Longmont,Colorado,"94,341"
336,Sunrise,Florida,"94,323"
337,Quincy,Massachusetts,"94,166"
338,Livonia,Michigan,"94,105"
339,Lynn,Massachusetts,"94,063"
340,Plantation,Florida,"93,909"
341,Lawton,Oklahoma,"93,714"
342,Yakima,Washington,"93,667"
343,Nampa,Idaho,"93,590"
344,Chico,California,"93,293"
345,Carson,California,"92,735"
346,Miami Beach,Florida,"92,307"
347,Santa Monica,California,"92,306"
348,Carmel,Indiana,"92,198"
349,Greenville,North Carolina,"92,156"
350,Santa Barbara,California,"92,101"
351,Concord,North Carolina,"92,067"
352,Edmond,Oklahoma,"91,950"
353,Asheville,North Carolina,"91,902"
354,Fishers,Indiana,"91,832"
355,Redding,California,"91,794"
356,Westminster,California,"91,564"
357,Tracy,California,"90,889"
358,Deltona,Florida,"90,746"
359,Menifee,California,"90,595"
360,San Leandro,California,"90,553"
361,Livermore,California,"90,295"
362,Edinburg,Texas,"90,280"
363,Suffolk,Virginia,"90,237"
364,Chino,California,"89,797"
365,Indio,California,"89,793"
366,Fall River,Massachusetts,"89,420"
367,Bellingham,Washington,"89,045"
368,Norwalk,Connecticut,"89,005"
369,Newton,Massachusetts,"88,994"
370,Kirkland,Washington,"88,630"
371,Sugar Land,Texas,"88,485"
372,Reading,Pennsylvania,"88,423"
373,Nashua,New Hampshire,"88,341"
374,Fort Smith,Arkansas,"88,037"
375,Citrus Heights,California,"87,931"
376,Hawthorne,California,"87,854"
377,Waukegan,Illinois,"87,729"
378,O'Fallon,Missouri,"87,597"
379,Champaign,Illinois,"87,432"
380,Ogden,Utah,"87,031"
381,Whittier,California,"86,838"
382,Redwood City,California,"86,685"
383,Mount Pleasant,South Carolina,"86,668"
384,Clifton,New Jersey,"86,607"
385,Palm Coast,Florida,"86,516"
386,Newport Beach,California,"86,160"
387,Duluth,Minnesota,"86,066"
388,Bloomington,Minnesota,"85,866"
389,Alhambra,California,"85,396"
390,Fayetteville,Arkansas,"85,257"
391,Danbury,Connecticut,"85,246"
392,Hemet,California,"85,160"
393,Bloomington,Indiana,"85,071"
394,Trenton,New Jersey,"84,964"
395,Hoover,Alabama,"84,920"
396,Largo,Florida,"84,754"
397,Mission,Texas,"84,424"
398,St. George,Utah,"84,405"
399,Conroe,Texas,"84,378"
400,Johns Creek,Georgia,"84,350"
401,Lake Forest,California,"84,293"
402,Avondale,Arizona,"84,025"
403,Bryan,Texas,"84,021"
404,Troy,Michigan,"83,813"
405,Santa Fe,New Mexico,"83,776"
406,Merced,California,"83,081"
407,Buena Park,California,"83,015"
408,Pleasanton,California,"83,007"
409,Cicero,Illinois,"82,552"
410,Sioux City,Iowa,"82,514"
411,Melbourne,Florida,"82,011"
412,Medford,Oregon,"81,780"
413,Westland,Michigan,"81,747"
414,Kennewick,Washington,"81,607"
415,Longview,Texas,"81,522"
416,Mountain View,California,"81,438"
417,Somerville,Massachusetts,"81,360"
418,Cranston,Rhode Island,"81,202"
419,Farmington Hills,Michigan,"81,050"
420,Lynchburg,Virginia,"80,995"
421,Lakewood,California,"80,967"
422,Warwick,Rhode Island,"80,871"
423,Auburn,Washington,"80,776"
424,Brooklyn Park,Minnesota,"80,581"
425,Deerfield Beach,Florida,"80,571"
426,Tustin,California,"80,498"
427,Chino Hills,California,"80,374"
428,Lawrence,Massachusetts,"80,162"
429,New Rochelle,New York,"79,946"
430,Fort Myers,Florida,"79,943"
431,Goodyear,Arizona,"79,858"
432,Napa,California,"79,774"
433,Springdale,Arkansas,"79,599"
434,Pharr,Texas,"79,487"
435,Manteca,California,"79,268"
436,Alameda,California,"79,177"
437,Parma,Ohio,"79,167"
438,New Braunfels,Texas,"79,152"
439,Plymouth,Minnesota,"78,395"
440,Franklin,Tennessee,"78,321"
441,Milpitas,California,"78,106"
442,Folsom,California,"78,038"
443,Bloomington,Illinois,"77,934"
444,Perris,California,"77,879"
445,Bellflower,California,"77,772"
446,Boynton Beach,Florida,"77,702"
447,Scranton,Pennsylvania,"77,605"
448,Racine,Wisconsin,"77,542"
449,Lake Charles,Louisiana,"77,117"
450,Upland,California,"76,999"
451,Baytown,Texas,"76,804"
452,Loveland,Colorado,"76,701"
453,Layton,Utah,"76,691"
454,Flower Mound,Texas,"76,681"
455,Hammond,Indiana,"76,618"
456,Gastonia,North Carolina,"76,593"
457,St. Joseph,Missouri,"76,442"
458,Baldwin Park,California,"76,402"
459,Gary,Indiana,"76,008"
460,Wyoming,Michigan,"75,938"
461,San Ramon,California,"75,931"
462,Jonesboro,Arkansas,"75,866"
463,Kalamazoo,Michigan,"75,807"
464,Iowa City,Iowa,"75,798"
465,Bethlehem,Pennsylvania,"75,707"
466,Cedar Park,Texas,"75,704"
467,Arlington Heights,Illinois,"75,634"
468,Union City,California,"75,343"
469,Bolingbrook,Illinois,"75,201"
470,Warner Robins,Georgia,"74,854"
471,Evanston,Illinois,"74,756"
472,Appleton,Wisconsin,"74,653"
473,Camden,New Jersey,"74,532"
474,Temple,Texas,"74,503"
475,Missouri City,Texas,"74,497"
476,Rapid City,South Dakota,"74,421"
477,Rochester Hills,Michigan,"74,205"
478,Schaumburg,Illinois,"74,184"
479,Rancho Cordova,California,"73,563"
480,Turlock,California,"73,556"
481,Missoula,Montana,"73,340"
482,Southfield,Michigan,"73,208"
483,Albany,Georgia,"73,179"
484,Apple Valley,California,"73,077"
485,Rock Hill,South Carolina,"73,068"
486,Pasco,Washington,"73,013"
487,Bismarck,North Dakota,"72,865"
488,New Britain,Connecticut,"72,710"
489,Waukesha,Wisconsin,"72,489"
490,Jacksonville,North Carolina,"72,447"
491,Lafayette,Indiana,"72,390"
492,Decatur,Illinois,"72,174"
493,Pittsburg,California,"72,141"
494,Pawtucket,Rhode Island,"72,001"
495,Flagstaff,Arizona,"71,975"
496,Lauderhill,Florida,"71,970"
497,Gulfport,Mississippi,"71,822"
498,Redlands,California,"71,554"
499,Frederick,Maryland,"71,408"
500,Passaic,New Jersey,"71,247"
